file,annee,couche texte,format,n,commentaires,new_name,OCR,TEI
TEXTE 1 - Ch'viux bertcheux.pdf,2020,non,PDF,1,,Picard_Concours_2020_1.pdf,oui,oui
TEXTE 2 - Toccata & Fugue.pdf,2020,non,PDF,2,,Picard_Concours_2020_2.pdf,oui,oui
TEXTE 3 - Apocalypse (pas envoyé).pdf,2020,non,PDF,3,,Picard_Concours_2020_3.pdf,oui,oui
TEXTE 4 - Eul puche.pdf,2020,non,PDF,4,traduction en français,Picard_Concours_2020_4.pdf,oui,oui
TEXTE 5 - Lisette.pdf,2020,non,PDF,5,traduction en français,Picard_Concours_2020_5.pdf,oui,oui
TEXTE 6 - Leus salinques.pdf,2020,non,PDF,6,traduction en français,Picard_Concours_2020_6.pdf,oui,oui
TEXTE 7 - Eune mintrie.pdf,2020,non,PDF,7,traduction en français,Picard_Concours_2020_7.pdf,oui,oui
TEXTE 8 - Inne épèe d'Damoclèche.pdf,2020,non,PDF,8,,Picard_Concours_2020_8.pdf,oui,oui
TEXTE 9 - N'vous aatez pon sur l'arnitoile.pdf,2020,non,PDF,9,,Picard_Concours_2020_9.pdf,oui,oui
TEXTE 10 - Chol Garzette blanque.pdf,2020,non,PDF,10,,Picard_Concours_2020_10.pdf,oui,oui
TEXTE 11 - Inne pierre à molin.pdf,2020,non,PDF,11,,Picard_Concours_2020_11.pdf,oui,oui
TEXTE 13 - Dégrécion (pas envoyé).pdf,2020,non,PDF,13,,Picard_Concours_2020_13.pdf,oui,oui
TEXTE 15 - Ballade en sol mineur (pas envoyé).pdf,2020,non,PDF,15,,Picard_Concours_2020_15.pdf,oui,oui
TEXTE 16 - Em vie (pas envoyé).pdf,2020,non,PDF,16,,Picard_Concours_2020_16.pdf,oui,oui
TEXTE 17 - Min frere (pas envoyé).pdf,2020,non,PDF,17,,Picard_Concours_2020_17.pdf,oui,oui
TEXTE 18 - El ducass des coeurs joyeux.pdf,2020,non,PDF,18,,Picard_Concours_2020_18.pdf,oui,oui
TEXTE 19 - L'club des blinques tiètes.pdf,2020,non,PDF,19,traduction en français,Picard_Concours_2020_19.pdf,oui,oui
TEXTE 20 - Batiste.pdf,2020,non,PDF,20,traduction en français,Picard_Concours_2020_20.pdf,oui,oui
TEXTE 21 - Echl'escret d'chol qu'al sorit toudis.pdf,2020,non,PDF,21,,Picard_Concours_2020_21.pdf,oui,oui
TEXTE 22 - Al ducasse ed' min 'villache.pdf,2020,non,PDF,22,,Picard_Concours_2020_22.pdf,oui,oui
"TEXTE 23 - Courrières, mars 1906.pdf",2020,non,PDF,23,,Picard_Concours_2020_23.pdf,oui,oui
"TEXTE 24 - L'progrès, ch'est du pipeau (pas envoyé).pdf",2020,non,PDF,24,,Picard_Concours_2020_24.pdf,oui,oui
TEXTE 26 - Histoires d'famill.pdf,2020,non,PDF,26,,Picard_Concours_2020_26.pdf,oui,oui
TEXTE 27 - Mon onc' Michel !.pdf,2020,non,PDF,27,,Picard_Concours_2020_27.pdf,oui,oui
TEXTE 28 - Chacun sin tour.pdf,2020,non,PDF,28,traduction en français,Picard_Concours_2020_28.pdf,oui,oui
TEXTE 29 - Histoire des Noe en ch'ti.pdf,2020,non,PDF,29,,Picard_Concours_2020_29.pdf,oui,oui
TEXTE 31 - Ia ed'l'iau dins el'gaz.pdf,2020,non,PDF,31,,Picard_Concours_2020_31.pdf,oui,oui
TEXTE 32 - Ugénie étot superbe.pdf,2020,non,PDF,32,,Picard_Concours_2020_32.pdf,oui,oui
TEXTE 33 - K'min et pourkoi Kilian Cafougnette i s'a fait dessaquer par sin père ed' l' Ecole Laïque.pdf,2020,non,PDF,33,,Picard_Concours_2020_33.pdf,oui,oui
TEXTE 34 - La Tèrre.pdf,2020,non,PDF,34,,Picard_Concours_2020_34.pdf,oui,oui
TEXTE 35 - Euch mystère du bo Erness.pdf,2020,non,PDF,35,,Picard_Concours_2020_35.pdf,oui,oui
TEXTE 36 - Férailleu.pdf,2020,non,PDF,36,,Picard_Concours_2020_36.pdf,oui,oui
TEXTE 37 - Chés Darins.pdf,2020,non,PDF,37,,Picard_Concours_2020_37.pdf,oui,oui
TEXTE 38 - Min père.pdf,2020,non,PDF,38,,Picard_Concours_2020_38.pdf,oui,oui
TEXTE 39 - Le patronage.pdf,2020,non,PDF,39,,Picard_Concours_2020_39.pdf,oui,oui
TEXTE 40 - Les vacances à Berck.pdf,2020,non,PDF,40,,Picard_Concours_2020_40.pdf,oui,oui
TEXTE 41 - Mémère eune vie d'avant.pdf,2020,non,PDF,41,,Picard_Concours_2020_41.pdf,oui,oui
TEXTE 42 - Ch's étrennes.pdf,2020,non,PDF,42,,Picard_Concours_2020_42.pdf,oui,oui
TEXTE 43 - Min quien.pdf,2020,non,PDF,43,,Picard_Concours_2020_43.pdf,oui,oui
TEXTE 44 - El GPS.pdf,2020,non,PDF,44,,Picard_Concours_2020_44.pdf,oui,oui
TEXTE 45 - L'EDF.pdf,2020,non,PDF,45,,Picard_Concours_2020_45.pdf,oui,oui
TEXTE 46 - L'tiote fille et l'APE.pdf,2020,non,PDF,46,,Picard_Concours_2020_46.pdf,oui,oui
TEXTE 47 - Chel casquette à Jules.pdf,2020,non,PDF,47,,Picard_Concours_2020_47.pdf,oui,oui
TEXTE 48 - T'es d'min coin.pdf,2020,non,PDF,48,,Picard_Concours_2020_48.pdf,oui,oui
TEXTE 49 - Charles et s'famille ed 1890 à 1919.pdf,2020,non,PDF,49,,Picard_Concours_2020_49.pdf,oui,
TEXTE 50 - El nord rinvique (ressussité).pdf,2020,non,PDF,50,,Picard_Concours_2020_50.pdf,oui,
TEXTE 51 - Chez Mac-Louis.pdf,2020,non,PDF,51,,Picard_Concours_2020_51.pdf,oui,
TEXTE 52 - Edwige l'tiot' chouette.pdf,2020,non,PDF,52,,Picard_Concours_2020_52.pdf,oui,
TEXTE 53 - L'tart' a turots.pdf,2020,non,PDF,53,,Picard_Concours_2020_53.pdf,oui,
TEXTE 54 - Le Parisien.pdf,2020,non,PDF,54,,Picard_Concours_2020_54.pdf,oui,
TEXTE 55 - L'train du 15 féverrier.pdf,2020,non,PDF,55,traduction en français,Picard_Concours_2020_55.pdf,oui,
TEXTE 56 - El pêk au casier !.pdf,2020,non,PDF,56,,Picard_Concours_2020_56.pdf,oui,
"TEXTE 57 - Té t'ramentus, min fiu (pas envoyé).pdf",2020,non,PDF,57,,Picard_Concours_2020_57.pdf,oui,
TEXTE 58 - El soixantième.pdf,2020,non,PDF,58,,Picard_Concours_2020_58.pdf,oui,
TEXTE 59 - Cha ch'est misère.pdf,2020,non,PDF,59,,Picard_Concours_2020_59.pdf,oui,
TEXTE 60 - Ches conjureux.pdf,2020,non,PDF,60,,Picard_Concours_2020_60.pdf,oui,
TEXTE 61 - Voici l'vie d'un ouvrier mineur (pas envoyé).pdf,2020,non,PDF,61,,Picard_Concours_2020_61.pdf,oui,
TEXTE 62 -.pdf,2020,non,PDF,62,,Picard_Concours_2020_62.pdf,oui,
N°4 - Lovlà l'printemps.pdf,2021,non,PDF,4,,Picard_Concours_2021_4.pdf,oui,
N°5 - Vie confinée.pdf,2021,non,PDF,5,traduction en français,Picard_Concours_2021_5.pdf,oui,
N°6 - 2020 enée d'bren.pdf,2021,non,PDF,6,traduction en français,Picard_Concours_2021_6.pdf,oui,
N°7 - Min pépère qu'j'ai querre.pdf,2021,non,PDF,7,vocabulaire manuscrit,Picard_Concours_2021_7.pdf,oui,
N°10 - Inne énèe d'brin.pdf,2021,non,PDF,10,traduction en français,Picard_Concours_2021_10.pdf,oui,
N°11 - Rintrée des classes malgré l'Covid.pdf,2021,non,PDF,11,,Picard_Concours_2021_11.pdf,oui,
N°12 - Chés chingliers is ont gaigné !.pdf,2021,non,PDF,12,,Picard_Concours_2021_12.pdf,oui,
N°15 - Ch'Gus et l'Covid in 2020.pdf,2021,non,PDF,15,,Picard_Concours_2021_15.pdf,oui,
"N°16 - Saque, saque, sonneu !.pdf",2021,non,PDF,16,traduction en français,Picard_Concours_2021_16.pdf,oui,
N°17 - Mars 2020 In vlà cor ein'.pdf,2021,non,PDF,17,,Picard_Concours_2021_17.pdf,oui,
N°18 - 2020 ene d'brin.pdf,2021,non,PDF,18,,Picard_Concours_2021_18.pdf,oui,
N°41 - Ch_treu.pdf,2021,non,PDF,41,,Picard_Concours_2021_41.pdf,oui,
N°42 - Ches tierres ed Chernunnos - .pdf,2021,non,PDF,42,,Picard_Concours_2021_42.pdf,oui,
N°43 -  Achteure j’e´l sais - e´ne e´ne´e d'be´nachte´ totale.pdf,2021,non,PDF,43,,Picard_Concours_2021_43.pdf,oui,
N°44 - Rin d'nouviau dins Biaujolais .pdf,2021,non,PDF,44,,Picard_Concours_2021_44.pdf,oui,
N°46 - Louise Bel Air.pdf,2021,non,PDF,46,traduction en français,Picard_Concours_2021_46.pdf,oui,
N°47 - Eune mintrie.pdf,2021,non,PDF,47,traduction en français,Picard_Concours_2021_47.pdf,oui,
N°48 - Ches clokes d'ech boulinger.pdf,2021,non,PDF,48,,Picard_Concours_2021_48.pdf,oui,
